GroupID,Algorithm,Master,File,Name,Path,Size,Created,Modified,Width,Height,FileType,CameraMake,CameraModel,DateTaken,QualityScore,IPTCKeywords,IPTCCaption,XMPKeywords,XMPTitle,SimilarityScore,MatchReasons
0,dhash,Yes,C:\Users\br8kw\Pictures\2022\09\20220910_145033824_iOS.heic,20220910_145033824_iOS.heic,C:\Users\br8kw\Pictures\2022\09\20220910_145033824_iOS.heic,2811047,1754484829.2350383,1678957760.0,0,0,.heic,,,,0,[],,[],,,
0,dhash,,C:\Users\br8kw\Pictures\2022\09\20220910_145034065_iOS.heic,20220910_145034065_iOS.heic,C:\Users\br8kw\Pictures\2022\09\20220910_145034065_iOS.heic,2874854,1754484829.2557142,1678957759.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
1,dhash,Yes,C:\Users\br8kw\Pictures\2023\04\panel2.jpg,panel2.jpg,C:\Users\br8kw\Pictures\2023\04\panel2.jpg,2597986,1754484859.053329,1680798401.0,0,0,.jpg,,,,0,[],,[],,,
1,dhash,,C:\Users\br8kw\Pictures\2023\04\20230406_160853783_iOS.heic,20230406_160853783_iOS.heic,C:\Users\br8kw\Pictures\2023\04\20230406_160853783_iOS.heic,2275235,1754484856.142873,1680798205.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
2,dhash,Yes,C:\Users\br8kw\Pictures\2022\04\20220429_180153408_iOS.jpg,20220429_180153408_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180153408_iOS.jpg,1146881,1754484806.0530956,1651255313.0,0,0,.jpg,,,,0,[],,[],,,
2,dhash,,C:\Users\br8kw\Pictures\2022\04\20220429_180142252_iOS.jpg,20220429_180142252_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180142252_iOS.jpg,1145510,1754484806.0469162,1651255302.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
3,dhash,Yes,C:\Users\br8kw\Pictures\2023\08\20230901_012927967_iOS.jpg,20230901_012927967_iOS.jpg,C:\Users\br8kw\Pictures\2023\08\20230901_012927967_iOS.jpg,1445215,1754484865.7823353,1693531767.0,0,0,.jpg,,,,0,[],,[],,,
3,dhash,,C:\Users\br8kw\Pictures\2023\08\20230901_012924530_iOS.jpg,20230901_012924530_iOS.jpg,C:\Users\br8kw\Pictures\2023\08\20230901_012924530_iOS.jpg,1445215,1754484865.7742379,1693531764.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_size|same_dimensions
4,dhash,Yes,C:\Users\br8kw\Pictures\2023\07\20230708_173900455_iOS.heic,20230708_173900455_iOS.heic,C:\Users\br8kw\Pictures\2023\07\20230708_173900455_iOS.heic,2976836,1754484862.053789,1694713671.0,0,0,.heic,,,,0,[],,[],,,
4,dhash,,C:\Users\br8kw\Pictures\2023\07\20230708_173900120_iOS.heic,20230708_173900120_iOS.heic,C:\Users\br8kw\Pictures\2023\07\20230708_173900120_iOS.heic,2991871,1754484862.048478,1694713668.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
5,dhash,Yes,C:\Users\br8kw\Pictures\2023\04\panel1.jpg,panel1.jpg,C:\Users\br8kw\Pictures\2023\04\panel1.jpg,2901483,1754484859.0349889,1680798497.0,0,0,.jpg,,,,0,[],,[],,,
5,dhash,,C:\Users\br8kw\Pictures\2023\04\20230406_160830519_iOS.heic,20230406_160830519_iOS.heic,C:\Users\br8kw\Pictures\2023\04\20230406_160830519_iOS.heic,2327244,1754484856.1315274,1680798206.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
6,dhash,Yes,C:\Users\br8kw\Pictures\2023\02\20230210_151926000_iOS.png,20230210_151926000_iOS.png,C:\Users\br8kw\Pictures\2023\02\20230210_151926000_iOS.png,5074767,1754484844.9011087,1676042366.0,0,0,.png,,,,0,[],,[],,,
6,dhash,,C:\Users\br8kw\Pictures\2022\12\20221220_132917000_iOS.png,20221220_132917000_iOS.png,C:\Users\br8kw\Pictures\2022\12\20221220_132917000_iOS.png,5077079,1754484838.2247589,1671542957.0,0,0,.png,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
7,dhash,Yes,C:\Users\br8kw\Pictures\2023\06\20230621_121040000_iOS.jpg,20230621_121040000_iOS.jpg,C:\Users\br8kw\Pictures\2023\06\20230621_121040000_iOS.jpg,445282,1754484860.7924955,1687349440.0,0,0,.jpg,,,,0,[],,[],,,
7,dhash,,C:\Users\br8kw\Pictures\2023\06\20230621_002851182_iOS.jpg,20230621_002851182_iOS.jpg,C:\Users\br8kw\Pictures\2023\06\20230621_002851182_iOS.jpg,1734489,1754484860.7485025,1687307331.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
8,dhash,Yes,C:\Users\br8kw\Pictures\2023\08\20230901_012945514_iOS.jpg,20230901_012945514_iOS.jpg,C:\Users\br8kw\Pictures\2023\08\20230901_012945514_iOS.jpg,48763,1754484865.8219132,1693531785.0,0,0,.jpg,,,,0,[],,[],,,
8,dhash,,C:\Users\br8kw\Pictures\2023\08\20230901_012941879_iOS.jpg,20230901_012941879_iOS.jpg,C:\Users\br8kw\Pictures\2023\08\20230901_012941879_iOS.jpg,48763,1754484865.8134294,1693531781.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_size|same_dimensions
9,dhash,Yes,C:\Users\br8kw\Pictures\2022\04\20220429_180414114_iOS.jpg,20220429_180414114_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180414114_iOS.jpg,990360,1754484806.0981853,1651255454.0,0,0,.jpg,,,,0,[],,[],,,
9,dhash,,C:\Users\br8kw\Pictures\2022\04\20220429_180403298_iOS.jpg,20220429_180403298_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180403298_iOS.jpg,945471,1754484806.0858743,1651255443.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
10,dhash,Yes,C:\Users\br8kw\Pictures\2023\04\meter.jpg,meter.jpg,C:\Users\br8kw\Pictures\2023\04\meter.jpg,3507863,1754484859.0324721,1680798458.0,0,0,.jpg,,,,0,[],,[],,,
10,dhash,,C:\Users\br8kw\Pictures\2023\04\20230406_161033366_iOS.heic,20230406_161033366_iOS.heic,C:\Users\br8kw\Pictures\2023\04\20230406_161033366_iOS.heic,2998488,1754484856.152303,1680798204.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
11,dhash,Yes,C:\Users\br8kw\Pictures\2022\04\20220429_183215864_iOS.jpg,20220429_183215864_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_183215864_iOS.jpg,779907,1754484806.2992897,1651257135.0,0,0,.jpg,,,,0,[],,[],,,
11,dhash,,C:\Users\br8kw\Pictures\2022\04\20220429_183203607_iOS.jpg,20220429_183203607_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_183203607_iOS.jpg,762959,1754484806.287252,1651257123.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
12,dhash,Yes,C:\Users\br8kw\Pictures\2022\04\20220417_111035226_iOS.heic,20220417_111035226_iOS.heic,C:\Users\br8kw\Pictures\2022\04\20220417_111035226_iOS.heic,1754471,1754484796.8938541,1678962806.0,0,0,.heic,,,,0,[],,[],,,
12,dhash,,C:\Users\br8kw\Pictures\2022\04\20220417_111035605_iOS.heic,20220417_111035605_iOS.heic,C:\Users\br8kw\Pictures\2022\04\20220417_111035605_iOS.heic,1760900,1754484796.9077897,1678962805.0,0,0,.heic,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
13,dhash,Yes,C:\Users\br8kw\Pictures\2022\04\20220429_180651524_iOS.jpg,20220429_180651524_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180651524_iOS.jpg,1315015,1754484806.1270373,1651255611.0,0,0,.jpg,,,,0,[],,[],,,
13,dhash,,C:\Users\br8kw\Pictures\2022\04\20220429_180639932_iOS.jpg,20220429_180639932_iOS.jpg,C:\Users\br8kw\Pictures\2022\04\20220429_180639932_iOS.jpg,1267341,1754484806.1113267,1651255599.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_dimensions
14,dhash,Yes,C:\Users\br8kw\Pictures\2022\05\20220505_181054000_iOS.jpg,20220505_181054000_iOS.jpg,C:\Users\br8kw\Pictures\2022\05\20220505_181054000_iOS.jpg,192637,1754484808.6318965,1651774254.0,0,0,.jpg,,,,0,[],,[],,,
14,dhash,,C:\Users\br8kw\Pictures\2022\05\20220505_181021000_iOS.jpg,20220505_181021000_iOS.jpg,C:\Users\br8kw\Pictures\2022\05\20220505_181021000_iOS.jpg,192637,1754484808.615656,1651774221.0,0,0,.jpg,,,,0,[],,[],,0.1,perceptual_hash|same_size|same_dimensions
